tenant,role,manufacturer,device_type,status,site,name,serial,asset_tag,rack,position,face,airflow,location
租户,设备角色,厂商,设备类型,设备状态（在线active/离线offline）,青岛株洲路联通机房,机器名,sn号,设备标签(任意),机柜号,u位,front,front-to-rear,206
青银,网络设备,,Raisecom RC551E-4GE-AC,active,青岛株洲路联通机房,raisecom rc551e-4ge-ac-a03-1,,,A03,45,,,
网信,网络设备,华为,S5700-24TP-SI-AC,active,青岛株洲路联通机房,,2102352360W0F1000304,内网交换机,A03,44,,,
青银,网络设备,华为,S5720S-28P-PWR-LI-AC,active,青岛株洲路联通机房,,2102353175DMGB001452,QDBL-DC1-INTER-AS-01,A03,42,front,front-to-rear,206
青银,网络设备,H3C,F1000-AK1332,active,青岛株洲路联通机房,,202505080015,QDBL-DC1-INTER-FW-01,A03,40,,,
青银,,,,active,青岛株洲路联通机房,,202505080017,QDBL-DC1-CORE-CS-01,A03,38,,,
青银,,H3C,F1000-AK1332,active,青岛株洲路联通机房,,202505080019,QDBL-DC1-CORE-FW-01,A03,36,,,
青银,,,6520,active,青岛株洲路联通机房,,210235A2VX5249L00001V,QDBL-DC1-PRD-AS-01,A03,34,,,
青银,,,5560,active,青岛株洲路联通机房,,210235A1XC5232N0G2XB,QDBL-DC1-OOB-AS-01,A03,32,,,
青银,,,6520,active,青岛株洲路联通机房,,202505080023,QDBL-DC1-DCI-RT-01,A03,30,,,
网信,,,msr3610s,active,青岛株洲路联通机房,,219801A2WF8248X1006T,,A03,28,,,
青银,,,Inspur NF5140M3,active,青岛株洲路联通机房,,214207345,Cacti,A03,15,,,
青银,,,H3C R4900 G5,active,青岛株洲路联通机房,,210235A2RA524AC002NM,QDBL-DC1-PRDVSVR-01,A03,12,,,
青银,,,H3C R4900 G5,active,青岛株洲路联通机房,,210235A2RA524AC002NQ,QDBL-DC1-PRDVSVR-03,A03,9,,,
青银,,,H3C R4900 G5,active,青岛株洲路联通机房,,210235A2RA524AC002NL,QDBL-DC1-DMZVSVR-01,A03,6,,,
青银,,,H3C CN3360B FC SWITCH,active,青岛株洲路联通机房,,CZC4068RS9,QDBL-DC1-FCSW-01,A03,4,,,
青银,,,Huawei OceanStor Dorado 2000,active,青岛株洲路联通机房,,202501220010,QDBL-DC1-PRDSTORAGE-01,A03,2,,,
青银,,,F1000-AK1332,active,青岛株洲路联通机房,,,202505080014,A04,40,,,
青银,,,,active,青岛株洲路联通机房,,,202505080016,A04,38,,,
青银,,,F1000-AK1332,active,青岛株洲路联通机房,,,202505080018,A04,36,,,
青银,,,6520,active,青岛株洲路联通机房,,,210235A2VX5249L0001M,A04,34,,,
青银,,,5560,active,青岛株洲路联通机房,,,210235A1XC5232N0G2XR,A04,32,,,
青银,,,6520,active,青岛株洲路联通机房,,,210235A2VX5249L0001R,A04,30,,,
青银,,,H3C R4900 G5,active,青岛株洲路联通机房,,,210235A2RA524AC002NR,A04,12,,,
青银,,,H3C R4900 G5,active,青岛株洲路联通机房,,,210235A2RA524AC002NN,A04,9,,,
青银,,,H3C R4900 G5,active,青岛株洲路联通机房,,,210235A2RA524AC002NP,A04,6,,,
青银,,,H3C CN3360B FC SWITCH,active,青岛株洲路联通机房,,,CZC4068RRY,A04,4,,,
青银,,,DINGJIA 2U,active,青岛株洲路联通机房,,,210619CHQJX3Q8000003,A04,2,,,
讯网互联,,,NIPSNX3,active,青岛株洲路联通机房,,,202404230002,A06,44,,,
讯网互联,,,NetSign-ZX200,active,青岛株洲路联通机房,,,247B10092,A06,38,,,
讯网互联,,,NSAE1200,active,青岛株洲路联通机房,,,247B10083,A06,36,,,
讯网互联,,,FortiGate300D,active,青岛株洲路联通机房,,,,A06,34,,,
讯网互联,,,华为5720-32X-EI-AC,active,青岛株洲路联通机房,,,2102359586DMG8000279,A06,32,,,
讯网互联,,,华为5720-32X-EI-AC,active,青岛株洲路联通机房,,,201706210015,A06,30,,,
讯网互联,,,华为5720-32X-EI-AC,active,青岛株洲路联通机房,,,,A06,28,,,
讯网互联,,,华为5720-28P-SI-AC,active,青岛株洲路联通机房,,,,A06,27,,,
讯网互联,,,FortiGate100D,active,青岛株洲路联通机房,,,201711290004,A06,26,,,
讯网互联,,,HP ProLiant DL388 Gen9,active,青岛株洲路联通机房,,,CN763800HW,A06,19,,,
讯网互联,,,HP ProLiant DL388 Gen9,active,青岛株洲路联通机房,,,CN763800NP,A06,15,,,
讯网互联,,,HP ProLiant DL388 Gen9,active,青岛株洲路联通机房,,,CN763800LP,A06,11,,,
迅网互联,,,HP ProLiant DL380 Gen9,active,青岛株洲路联通机房,,,6CU649DMTW,A06,7,,,
讯网互联(吉闻),,,NIPSNX3,active,青岛株洲路联通机房,,,,A07,44,,,
讯网互联(吉闻),,,HP ProLiant DL388 Gen9,active,青岛株洲路联通机房,,,,A07,37,,,
